#Compiled by SeeTweet 2.1.7b.
#Search performed at 2013-10-13 14:56
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: y'all
source,city,state,lat,long,uid,tid,center,incl
citystate,washington,dc,38.8951118,-77.0363658,462477585,389509793129693185,0,1
citystate,austin,tx,30.267153,-97.7430608,28935656,389509793024466944,0,1
citystate,fayetteville,nc,35.0526641,-78.8783585,532738934,389509784837554176,0,1
citystate,lexington,ky,37.9886892,-84.4777153,177699146,389509779577520128,0,1
geo,unk,unk,32.93075643,-97.24132983,525459498,389509773978124288,0,1
citystate,fridley,mn,45.0860765,-93.2632821,63617892,389509762800304128,0,1
geo,unk,unk,29.7981187,-95.3721116,94011911,389509729501720576,0,1
citystate,miami,fl,25.7742658,-80.1936589,1957078524,389509725253287936,0,1
geo,unk,unk,28.36709304,-81.42374623,18292658,389509695855411200,0,1
knowncity,new orleans,unk,29.97,-90.05,424546367,389509694005334016,0,1
citystate,sulphur,la,30.2365943,-93.3773783,1645318764,389509682312003585,0,1
citystate,irmo,sc,34.0859829,-81.1831513,40358191,389509680256811009,0,1
knowncity,chicago,unk,41.88,-87.62,252702558,389509667497336832,0,1
citystate,rockport,tx,28.0205733,-97.0544341,271179968,389509654503772160,0,1
citystate,baltimore,md,39.2903848,-76.6121893,48606393,389509613605113856,0,1
citystate,kinder,la,30.485479,-92.850703,366341212,389509602426904576,0,1
geo,unk,unk,32.8509446,-96.9570674,1184498942,389509601760010240,0,1
citystate,nashville,tn,36.1658899,-86.7844432,24265715,389509598878515200,0,1
citystate,mansfield,oh,40.75839,-82.5154471,253260229,389509593602457600,0,1
citystate,spring,tx,30.0799405,-95.4171601,221163932,389509584932462592,0,1
citystate,cypress,tx,33.0440087,-95.2691103,422323018,389509576573607936,0,1
citystate,atlanta,ga,33.7489954,-84.3879824,166550148,389509574400958465,0,1
citystate,hammond,la,30.5043583,-90.4611995,911801911,389509563743240192,0,1
knowncity,atl,unk,33.75,-84.39,377826355,389509554980941824,0,1
citystate,dallas,tx,32.7830556,-96.8066667,217340670,389509550610870272,0,1
citystate,charleston,sc,32.7765656,-79.9309216,46575675,389509518058881024,0,1
knowncity,miami,unk,25.78,-80.22,42741569,389509517756866560,0,1
citystate,princess anne,md,38.2028993,-75.692427,333187370,389509507447275520,0,1
geo,unk,unk,29.51916307,-98.53340315,419792106,389509506335383554,0,1
citystate,new orleans,la,29.9546482,-90.075072,304563800,389509506042191872,0,1
geo,unk,unk,29.78440762,-96.15212536,194666271,389509499486076928,0,1
knowncity,miami,unk,25.78,-80.22,66886958,389509495971676160,0,1
geo,unk,unk,33.94165165,-89.39906992,369149843,389509494667239425,0,1
knowncity,houston,unk,29.76,-95.38,84493150,389509485749755904,0,1
citystate,columbia,sc,34.0007104,-81.0348144,329189395,389509473184018433,0,1
knowncity,new orleans,unk,29.97,-90.05,243855402,389509466431172608,0,1
geo,unk,unk,33.73942851,-84.57295142,710059772,389509457455366144,0,1
knowncity,akron,unk,41.07,-81.52,186166968,389509450916442112,0,1
citystate,miami,fl,25.7742658,-80.1936589,1905814250,389509448776941568,0,1
citystate,nashville,tn,36.1658899,-86.7844432,48087008,389509445904257025,0,1
geo,unk,unk,33.73196098,-85.3408887,164739510,389509438836449280,0,1
citystate,brooklyn,ny,40.6501038,-73.9495823,238655581,389509434407657472,0,1
citystate,philadelphia,pa,39.952335,-75.163789,407739994,389509432893521920,0,1
geo,unk,unk,32.69096061,-97.07505606,273188437,389509431718731776,0,1
geo,unk,unk,33.60728151,-84.05237151,239050909,389509425347973120,0,1
